Parameters:TParameters:TimeZone=America/New_York;LoyaltyRate=0.5;TransactionUploadRate=1.0,,,,,,,,,,,,,,,
Email,Email,Email,First Name,Last Name,City,State,Zip,Country,Phone Number,Phone Number,Phone Number,Conversion Name,Conversion Time,Conversion Value,Conversion Currency
uudqm@gmail.com,,,uvsfh,ckpfb,lima,,,PE,+51535291789,,,SSD_test1,08/14/2012 17:01:54,2708,USD
ckstd@gmail.com,,,igbcu,zbzal,lima,,,PE,+51323613492,,,SSD_test1,08/14/2012 17:01:54,1412,USD
mizei@gmail.com,,,ggxbq,apchq,lima,,,PE,+51652722748,,,SSD_test1,08/14/2012 17:01:54,3731,USD
zhgki@gmail.com,,,ogyrr,dlsly,lima,,,PE,+51525188147,,,SSD_test1,08/14/2012 17:01:54,3473,USD
mhlnd@gmail.com,,,ludjl,lvffx,lima,,,PE,+51496371274,,,SSD_test1,08/14/2012 17:01:54,2670,USD
iwvfx@gmail.com,,,bkoox,rugvu,arequipa,,,PE,+51375424692,,,SSD_test1,08/14/2012 17:01:54,3437,USD
gmnsj@gmail.com,,,jvicw,tcnyo,cuzco,,,PE,+51375433632,,,SSD_test1,08/14/2012 17:01:54,853,USD
phnwh@gmail.com,,,lerpk,idyrq,piura,,,PE,+51347861986,,,SSD_test1,08/14/2012 17:01:54,247,USD
dwvyy@gmail.com,,,gfvxf,wzwlr,lima,,,PE,+51454599747,,,SSD_test1,08/14/2012 17:01:54,454,USD
apcwi@gmail.com,,,selrr,xndnj,lima,,,PE,+51681574575,,,SSD_test1,08/14/2012 17:01:54,4924,USD
ppjlh@gmail.com,,,xzmky,wfjuc,lima,,,PE,+51849347134,,,SSD_test1,08/14/2012 17:01:54,1617,USD
okgyr@gmail.com,,,jspuw,qjwib,lima,,,PE,+51266581247,,,SSD_test1,08/14/2012 17:01:54,1432,USD
bdvrc@gmail.com,,,jgadu,itexe,lima,,,PE,+51113499467,,,SSD_test1,08/14/2012 17:01:54,1879,USD
zuyrz@gmail.com,,,aizzj,maicu,lima,,,PE,+51739643855,,,SSD_test1,08/14/2012 17:01:54,2040,USD
pgbgj@gmail.com,,,psxbq,jzmyw,lima,,,PE,+51254213668,,,SSD_test1,08/14/2012 17:01:54,418,USD
okfux@gmail.com,,,zgrhi,cydrz,lima,,,PE,+51638561317,,,SSD_test1,08/14/2012 17:01:54,1652,USD
decws@gmail.com,,,ogwjk,ujhbx,lima,,,PE,+51581162191,,,SSD_test1,08/14/2012 17:01:54,549,USD
dswch@gmail.com,,,bfkli,anjuy,lima,,,PE,+51675547291,,,SSD_test1,08/14/2012 17:01:54,3987,USD
pdmis@gmail.com,,,uldos,mebmp,lima,,,PE,+51817435598,,,SSD_test1,08/14/2012 17:01:54,3706,USD
whxxk@gmail.com,,,inser,tdkhg,lima,,,PE,+51694695491,,,SSD_test1,08/14/2012 17:01:54,392,USD
uzrxp@gmail.com,,,padsn,jozio,lima,,,PE,+51591277712,,,SSD_test1,08/14/2012 17:01:54,1610,USD
eytxa@gmail.com,,,gudym,qdrdj,lima,,,PE,+51598191937,,,SSD_test1,08/14/2012 17:01:54,574,USD
alvdv@gmail.com,,,pvnhf,ktuxk,lima,,,PE,+51949432569,,,SSD_test1,08/14/2012 17:01:54,3131,USD
rutds@gmail.com,,,uobtc,qtevo,lima,,,PE,+51833835738,,,SSD_test1,08/14/2012 17:01:54,1165,USD
iwwsn@gmail.com,,,ulmlt,odfaw,lima,,,PE,+51819783557,,,SSD_test1,08/14/2012 17:01:54,991,USD
twlvb@gmail.com,,,frnex,fjekk,lima,,,PE,+51564516489,,,SSD_test1,08/14/2012 17:01:54,2634,USD
fljfg@gmail.com,,,vlsbi,fvjnp,lima,,,PE,+51926592963,,,SSD_test1,08/14/2012 17:01:54,3803,USD
olhrv@gmail.com,,,zaqac,lahvw,lima,,,PE,+51957445756,,,SSD_test1,08/14/2012 17:01:54,1618,USD
mzqby@gmail.com,,,ynvgm,bresy,lima,,,PE,+51847274471,,,SSD_test1,08/14/2012 17:01:54,1034,USD
mpyow@gmail.com,,,tgyrt,ucbwv,lima,,,PE,+51541384445,,,SSD_test1,08/14/2012 17:01:54,3046,USD
wsavr@gmail.com,,,nwoel,mxykn,arequipa,,,PE,+51238931535,,,SSD_test1,08/14/2012 17:01:54,476,USD
iebsu@gmail.com,,,buyae,uuxdk,cuzco,,,PE,+51158633436,,,SSD_test1,08/14/2012 17:01:54,4840,USD
frwzi@gmail.com,,,xlihy,kccma,piura,,,PE,+51724767584,,,SSD_test1,08/14/2012 17:01:54,2291,USD
ovxxw@gmail.com,,,tifqn,imtqb,lima,,,PE,+51873222222,,,SSD_test1,08/14/2012 17:01:54,170,USD
upimz@gmail.com,,,dpldx,fnohq,lima,,,PE,+51459679942,,,SSD_test1,08/14/2012 17:01:54,4068,USD
iixkm@gmail.com,,,fsplz,uospf,lima,,,PE,+51845144251,,,SSD_test1,08/14/2012 17:01:54,4984,USD
wltwe@gmail.com,,,ilape,awniv,lima,,,PE,+51182134833,,,SSD_test1,08/14/2012 17:01:54,2782,USD
kjxwe@gmail.com,,,kktol,cvxgz,lima,,,PE,+51779693728,,,SSD_test1,08/14/2012 17:01:54,3511,USD
qrnjz@gmail.com,,,lhhqz,kjhgv,lima,,,PE,+51197296839,,,SSD_test1,08/14/2012 17:01:54,618,USD
wtzbq@gmail.com,,,rnjgx,wvzhs,lima,,,PE,+51234573299,,,SSD_test1,08/14/2012 17:01:54,4644,USD
tdnbp@gmail.com,,,bomqn,rwijh,lima,,,PE,+51717358569,,,SSD_test1,08/14/2012 17:01:54,219,USD
riruy@gmail.com,,,zfquh,zufup,lima,,,PE,+51779999572,,,SSD_test1,08/14/2012 17:01:54,3269,USD
ylyle@gmail.com,,,bticf,tthfb,lima,,,PE,+51891626423,,,SSD_test1,08/14/2012 17:01:54,4729,USD
ucnoi@gmail.com,,,tzfkk,ixvdv,lima,,,PE,+51614428957,,,SSD_test1,08/14/2012 17:01:54,2138,USD
cxxlp@gmail.com,,,ogghv,sydju,lima,,,PE,+51394227396,,,SSD_test1,08/14/2012 17:01:54,4507,USD
nuxbs@gmail.com,,,jzqul,lxnvu,lima,,,PE,+51582455727,,,SSD_test1,08/14/2012 17:01:54,1251,USD
ajvhs@gmail.com,,,npsvh,mptaa,lima,,,PE,+51731325565,,,SSD_test1,08/14/2012 17:01:54,4525,USD
rmbya@gmail.com,,,hpust,joytj,lima,,,PE,+51528561533,,,SSD_test1,08/14/2012 17:01:54,3951,USD
ehvtd@gmail.com,,,iuuuf,xaocu,lima,,,PE,+51312789259,,,SSD_test1,08/14/2012 17:01:54,2363,USD
fhmcm@gmail.com,,,oxclf,vlhug,lima,,,PE,+51118455745,,,SSD_test1,08/14/2012 17:01:54,291,USD
xcfxs@gmail.com,,,hhoig,rrnmg,lima,,,PE,+51498116997,,,SSD_test1,08/14/2012 17:01:54,389,USD
uqihk@gmail.com,,,kulth,yyabv,lima,,,PE,+51288156455,,,SSD_test1,08/14/2012 17:01:54,1106,USD
lckox@gmail.com,,,zopds,lzwue,lima,,,PE,+51474953335,,,SSD_test1,08/14/2012 17:01:54,3023,USD
bovhq@gmail.com,,,phuan,sjzhl,lima,,,PE,+51423345933,,,SSD_test1,08/14/2012 17:01:54,2941,USD
xuqzz@gmail.com,,,dcrig,fkugf,lima,,,PE,+51879935525,,,SSD_test1,08/14/2012 17:01:54,113,USD
iuhis@gmail.com,,,ighzh,uaixl,arequipa,,,PE,+51824169683,,,SSD_test1,08/14/2012 17:01:54,3182,USD
njtaa@gmail.com,,,ocqkk,xdfrr,cuzco,,,PE,+51685214583,,,SSD_test1,08/14/2012 17:01:54,3832,USD
jqzgd@gmail.com,,,zbncs,zwaws,piura,,,PE,+51244266664,,,SSD_test1,08/14/2012 17:01:54,2680,USD
hznvr@gmail.com,,,jdngn,axoiz,lima,,,PE,+51219626683,,,SSD_test1,08/14/2012 17:01:54,3558,USD
bcdmz@gmail.com,,,zrmsi,twbmq,lima,,,PE,+51616196767,,,SSD_test1,08/14/2012 17:01:54,15,USD
jxrsb@gmail.com,,,meftd,tkvld,lima,,,PE,+51865883172,,,SSD_test1,08/14/2012 17:01:54,1968,USD
pyywu@gmail.com,,,ptziw,evton,lima,,,PE,+51848853169,,,SSD_test1,08/14/2012 17:01:54,2314,USD
amdje@gmail.com,,,qridv,zsskp,lima,,,PE,+51891112342,,,SSD_test1,08/14/2012 17:01:54,653,USD
vjpxa@gmail.com,,,igqnf,vbcty,lima,,,PE,+51837323423,,,SSD_test1,08/14/2012 17:01:54,3851,USD
hxfxa@gmail.com,,,mpwde,affxc,lima,,,PE,+51318789392,,,SSD_test1,08/14/2012 17:01:54,3681,USD
nbsjs@gmail.com,,,nadxe,txsxq,lima,,,PE,+51864689323,,,SSD_test1,08/14/2012 17:01:54,4564,USD
xtteu@gmail.com,,,lmqxl,cojbf,lima,,,PE,+51188857662,,,SSD_test1,08/14/2012 17:01:54,2324,USD
swqsc@gmail.com,,,ecgjg,naxqx,lima,,,PE,+51138953234,,,SSD_test1,08/14/2012 17:01:54,3876,USD
qkdzo@gmail.com,,,rvtqe,wumnt,lima,,,PE,+51766887897,,,SSD_test1,08/14/2012 17:01:54,200,USD
hecbi@gmail.com,,,qqsfu,nscxp,lima,,,PE,+51363772965,,,SSD_test1,08/14/2012 17:01:54,4035,USD
zkmpp@gmail.com,,,davgi,hwtqb,lima,,,PE,+51315665277,,,SSD_test1,08/14/2012 17:01:54,4982,USD
tekjx@gmail.com,,,ncrin,nmmlx,lima,,,PE,+51972926843,,,SSD_test1,08/14/2012 17:01:54,609,USD
ndlke@gmail.com,,,doete,zoxbq,lima,,,PE,+51324944465,,,SSD_test1,08/14/2012 17:01:54,4899,USD
jrwck@gmail.com,,,pwpyu,ljjkd,lima,,,PE,+51755237997,,,SSD_test1,08/14/2012 17:01:54,2919,USD
wipar@gmail.com,,,aeudy,rkcbv,lima,,,PE,+51785824173,,,SSD_test1,08/14/2012 17:01:54,293,USD
myuuz@gmail.com,,,xxvrc,zyhtr,lima,,,PE,+51772714279,,,SSD_test1,08/14/2012 17:01:54,4573,USD
gujce@gmail.com,,,ryncx,mqlgo,lima,,,PE,+51852511329,,,SSD_test1,08/14/2012 17:01:54,4396,USD
mewgi@gmail.com,,,sicip,udijw,lima,,,PE,+51661182329,,,SSD_test1,08/14/2012 17:01:54,4803,USD
soqks@gmail.com,,,mugjg,btfgf,lima,,,PE,+51819618989,,,SSD_test1,08/14/2012 17:01:54,3272,USD
mppwv@gmail.com,,,xzgag,fdxot,lima,,,PE,+51694214771,,,SSD_test1,08/14/2012 17:01:54,2054,USD
ggpqu@gmail.com,,,lakfa,sokna,arequipa,,,PE,+51534543753,,,SSD_test1,08/14/2012 17:01:54,2032,USD
eevcf@gmail.com,,,xndzp,rtblu,cuzco,,,PE,+51572116173,,,SSD_test1,08/14/2012 17:01:54,1903,USD
wmscg@gmail.com,,,kgswi,jozjt,piura,,,PE,+51834467642,,,SSD_test1,08/14/2012 17:01:54,3193,USD
qvmlf@gmail.com,,,mekmz,ppadw,lima,,,PE,+51776282413,,,SSD_test1,08/14/2012 17:01:54,511,USD
akhyk@gmail.com,,,opdtx,sieug,lima,,,PE,+51628628447,,,SSD_test1,08/14/2012 17:01:54,535,USD
ptlpn@gmail.com,,,mnjxa,tnnpg,lima,,,PE,+51172598973,,,SSD_test1,08/14/2012 17:01:54,891,USD
hfdun@gmail.com,,,slssh,buzzu,lima,,,PE,+51797644136,,,SSD_test1,08/14/2012 17:01:54,3387,USD
hsfks@gmail.com,,,zjxac,dgdbv,lima,,,PE,+51237441265,,,SSD_test1,08/14/2012 17:01:54,2379,USD
pmyap@gmail.com,,,ggknz,lbcaq,lima,,,PE,+51449786178,,,SSD_test1,08/14/2012 17:01:54,1781,USD
hegdu@gmail.com,,,hjebb,sfwdr,lima,,,PE,+51291598912,,,SSD_test1,08/14/2012 17:01:54,1232,USD
llxeu@gmail.com,,,apayn,lbhxq,lima,,,PE,+51537274493,,,SSD_test1,08/14/2012 17:01:54,2801,USD
vmwnf@gmail.com,,,xfgyz,ryhrw,lima,,,PE,+51254614979,,,SSD_test1,08/14/2012 17:01:54,3591,USD
anshn@gmail.com,,,nzjgz,qpjjp,lima,,,PE,+51675964353,,,SSD_test1,08/14/2012 17:01:54,249,USD
mpzve@gmail.com,,,sxpwn,kukqq,lima,,,PE,+51116963516,,,SSD_test1,08/14/2012 17:01:54,2628,USD
kuxqx@gmail.com,,,pcvno,bmzwd,lima,,,PE,+51733315783,,,SSD_test1,08/14/2012 17:01:54,4088,USD
nwtly@gmail.com,,,mjgdp,sfvcd,lima,,,PE,+51679531667,,,SSD_test1,08/14/2012 17:01:54,2148,USD
puomi@gmail.com,,,fzyfp,hogty,lima,,,PE,+51985129231,,,SSD_test1,08/14/2012 17:01:54,3148,USD
syoww@gmail.com,,,qxbrk,gtrbu,lima,,,PE,+51147452837,,,SSD_test1,08/14/2012 17:01:54,4704,USD
qmtac@gmail.com,,,dyzkh,wyrtf,lima,,,PE,+51499684599,,,SSD_test1,08/14/2012 17:01:54,62,USD
lmoep@gmail.com,,,eucdi,pudlp,lima,,,PE,+51783455717,,,SSD_test1,08/14/2012 17:01:54,2426,USD
znvzw@gmail.com,,,fxidz,layvu,lima,,,PE,+51823792993,,,SSD_test1,08/14/2012 17:01:54,4230,USD
upfac@gmail.com,,,oyjyc,wrogg,lima,,,PE,+51245561474,,,SSD_test1,08/14/2012 17:01:54,2566,USD
ufoah@gmail.com,,,injhg,rtocx,lima,,,PE,+51124455753,,,SSD_test1,08/14/2012 17:01:54,2619,USD
sjshx@gmail.com,,,sdhfg,umepm,lima,,,PE,+51132255447,,,SSD_test1,08/14/2012 17:01:54,2756,USD
hlgam@gmail.com,,,lgzmw,sdeys,lima,,,PE,+51593577176,,,SSD_test1,08/14/2012 17:01:54,4973,USD
pksiq@gmail.com,,,xqbdq,gvthp,arequipa,,,PE,+51123394349,,,SSD_test1,08/14/2012 17:01:54,1244,USD
vbqms@gmail.com,,,tfdka,gpuxi,cuzco,,,PE,+51193621573,,,SSD_test1,08/14/2012 17:01:54,572,USD
sncpl@gmail.com,,,dtuwu,etjlq,piura,,,PE,+51798887673,,,SSD_test1,08/14/2012 17:01:54,1987,USD
eqcnc@gmail.com,,,answe,nyecs,lima,,,PE,+51619989766,,,SSD_test1,08/14/2012 17:01:54,1166,USD
mvdep@gmail.com,,,vbdzi,glrho,lima,,,PE,+51278854857,,,SSD_test1,08/14/2012 17:01:54,298,USD
ucsxo@gmail.com,,,unene,sgbld,lima,,,PE,+51119614227,,,SSD_test1,08/14/2012 17:01:54,428,USD
rfwbo@gmail.com,,,nkidg,kryhu,lima,,,PE,+51613538973,,,SSD_test1,08/14/2012 17:01:54,367,USD
rdxeq@gmail.com,,,zeeoo,lilvl,lima,,,PE,+51282762114,,,SSD_test1,08/14/2012 17:01:54,4938,USD
cjbzs@gmail.com,,,tioxq,fybda,lima,,,PE,+51613258119,,,SSD_test1,08/14/2012 17:01:54,2073,USD
lclzo@gmail.com,,,ywkrn,ndywb,lima,,,PE,+51217243687,,,SSD_test1,08/14/2012 17:01:54,1802,USD
xlezp@gmail.com,,,msyal,notzq,lima,,,PE,+51414684799,,,SSD_test1,08/14/2012 17:01:54,1106,USD
lwdzq@gmail.com,,,dlmln,kizhw,lima,,,PE,+51917187843,,,SSD_test1,08/14/2012 17:01:54,1894,USD
racrx@gmail.com,,,iunxl,gqjld,lima,,,PE,+51392283796,,,SSD_test1,08/14/2012 17:01:54,3192,USD
ogura@gmail.com,,,vtivy,xaxnq,lima,,,PE,+51281936655,,,SSD_test1,08/14/2012 17:01:54,2054,USD
ribzf@gmail.com,,,llqef,nbqbp,lima,,,PE,+51936112113,,,SSD_test1,08/14/2012 17:01:54,1394,USD
taqqp@gmail.com,,,tflcx,thgjm,lima,,,PE,+51735181925,,,SSD_test1,08/14/2012 17:01:54,368,USD
eewuq@gmail.com,,,aotsl,prawm,lima,,,PE,+51676585433,,,SSD_test1,08/14/2012 17:01:54,3865,USD
jzzqd@gmail.com,,,dujvh,shkdg,lima,,,PE,+51579397311,,,SSD_test1,08/14/2012 17:01:54,2711,USD
prota@gmail.com,,,vfcpj,arewy,lima,,,PE,+51583283671,,,SSD_test1,08/14/2012 17:01:54,501,USD
tzwex@gmail.com,,,gfryo,xkptd,lima,,,PE,+51516433859,,,SSD_test1,08/14/2012 17:01:54,4743,USD
tsayg@gmail.com,,,yqvkz,meafc,lima,,,PE,+51178491812,,,SSD_test1,08/14/2012 17:01:54,3512,USD
hefno@gmail.com,,,tioyd,skrqh,lima,,,PE,+51687323769,,,SSD_test1,08/14/2012 17:01:54,3443,USD
lrqhx@gmail.com,,,yhvjc,fezjx,lima,,,PE,+51437669749,,,SSD_test1,08/14/2012 17:01:54,2805,USD
rmual@gmail.com,,,qsgze,tihyz,lima,,,PE,+51396371345,,,SSD_test1,08/14/2012 17:01:54,2414,USD
rrcik@gmail.com,,,tifiz,jxtyf,lima,,,PE,+51911537411,,,SSD_test1,08/14/2012 17:01:54,4020,USD
womqh@gmail.com,,,zgwsq,rhmbw,arequipa,,,PE,+51238493884,,,SSD_test1,08/14/2012 17:01:54,2647,USD
mdlcb@gmail.com,,,lucoa,qbier,cuzco,,,PE,+51385117469,,,SSD_test1,08/14/2012 17:01:54,255,USD
rjyib@gmail.com,,,bonje,wzkof,piura,,,PE,+51237387534,,,SSD_test1,08/14/2012 17:01:54,4269,USD
ityqk@gmail.com,,,mpffk,jvyyh,lima,,,PE,+51582168797,,,SSD_test1,08/14/2012 17:01:54,3668,USD
ntpyw@gmail.com,,,fdzky,ifpub,lima,,,PE,+51367969127,,,SSD_test1,08/14/2012 17:01:54,2217,USD
kpuzj@gmail.com,,,byjis,dwpcg,lima,,,PE,+51525129521,,,SSD_test1,08/14/2012 17:01:54,1818,USD
bjvwh@gmail.com,,,ajmky,emume,lima,,,PE,+51644441478,,,SSD_test1,08/14/2012 17:01:54,1453,USD
kecin@gmail.com,,,kcaau,dkcea,lima,,,PE,+51637779392,,,SSD_test1,08/14/2012 17:01:54,392,USD
lsdtv@gmail.com,,,fctws,lfebg,lima,,,PE,+51724499622,,,SSD_test1,08/14/2012 17:01:54,2674,USD
gnqyr@gmail.com,,,srpsr,fbpaw,lima,,,PE,+51697732867,,,SSD_test1,08/14/2012 17:01:54,1923,USD
tudfz@gmail.com,,,skwxx,uifcw,lima,,,PE,+51961446732,,,SSD_test1,08/14/2012 17:01:54,1836,USD
tprdj@gmail.com,,,bpnpd,estpk,lima,,,PE,+51936411467,,,SSD_test1,08/14/2012 17:01:54,2587,USD
ezqgi@gmail.com,,,gdxas,aweuw,lima,,,PE,+51943364162,,,SSD_test1,08/14/2012 17:01:54,3662,USD
mlqqz@gmail.com,,,kibgd,xfbky,lima,,,PE,+51722558822,,,SSD_test1,08/14/2012 17:01:54,779,USD
ynjkx@gmail.com,,,fiffi,cpqob,lima,,,PE,+51611695712,,,SSD_test1,08/14/2012 17:01:54,2778,USD
eggjn@gmail.com,,,cyafd,fjijc,lima,,,PE,+51315424218,,,SSD_test1,08/14/2012 17:01:54,4107,USD
dhxbh@gmail.com,,,uhvmy,vmbua,lima,,,PE,+51262792215,,,SSD_test1,08/14/2012 17:01:54,3730,USD
nxeyv@gmail.com,,,hpwtx,lzbuv,lima,,,PE,+51142694219,,,SSD_test1,08/14/2012 17:01:54,1701,USD
jmago@gmail.com,,,nxrgl,xkkdu,lima,,,PE,+51739978412,,,SSD_test1,08/14/2012 17:01:54,2755,USD
utyrq@gmail.com,,,nnxyr,jfaar,lima,,,PE,+51479319143,,,SSD_test1,08/14/2012 17:01:54,2440,USD
ouwci@gmail.com,,,radbd,vmeyx,lima,,,PE,+51985266481,,,SSD_test1,08/14/2012 17:01:54,2459,USD
minfj@gmail.com,,,bxecl,ghcfs,lima,,,PE,+51249671483,,,SSD_test1,08/14/2012 17:01:54,4284,USD
jgwvc@gmail.com,,,njjeq,elvkh,lima,,,PE,+51863185764,,,SSD_test1,08/14/2012 17:01:54,2923,USD
lhqio@gmail.com,,,lbgzm,dpxcc,lima,,,PE,+51543312898,,,SSD_test1,08/14/2012 17:01:54,325,USD
mgbdq@gmail.com,,,lqklq,tqdzq,lima,,,PE,+51998962629,,,SSD_test1,08/14/2012 17:01:54,2240,USD
mcrcr@gmail.com,,,iqznq,ukumx,arequipa,,,PE,+51197338328,,,SSD_test1,08/14/2012 17:01:54,2316,USD
xuull@gmail.com,,,ytykd,mxqvn,cuzco,,,PE,+51242392641,,,SSD_test1,08/14/2012 17:01:54,934,USD
bljpk@gmail.com,,,lahsh,fygjg,piura,,,PE,+51936694677,,,SSD_test1,08/14/2012 17:01:54,1212,USD
kedvi@gmail.com,,,qyeko,iivmf,lima,,,PE,+51279525386,,,SSD_test1,08/14/2012 17:01:54,1418,USD
xzneo@gmail.com,,,zzqfx,xkwom,lima,,,PE,+51758281535,,,SSD_test1,08/14/2012 17:01:54,1829,USD
mlllt@gmail.com,,,ednbe,dfnab,lima,,,PE,+51757347674,,,SSD_test1,08/14/2012 17:01:54,3191,USD
jussu@gmail.com,,,llunb,gniyo,lima,,,PE,+51698764882,,,SSD_test1,08/14/2012 17:01:54,3053,USD
liaaq@gmail.com,,,kvoqx,silbw,lima,,,PE,+51414994766,,,SSD_test1,08/14/2012 17:01:54,113,USD
gzbhs@gmail.com,,,wraxh,rcqkj,lima,,,PE,+51987817655,,,SSD_test1,08/14/2012 17:01:54,2581,USD
ddkjo@gmail.com,,,zquje,gdwfp,lima,,,PE,+51486153534,,,SSD_test1,08/14/2012 17:01:54,3245,USD
jzdke@gmail.com,,,bgksq,kjyxt,lima,,,PE,+51288639956,,,SSD_test1,08/14/2012 17:01:54,2860,USD
rgcwy@gmail.com,,,iyfxg,ueewk,lima,,,PE,+51157689338,,,SSD_test1,08/14/2012 17:01:54,4751,USD
cwsee@gmail.com,,,tcjxg,bnajl,lima,,,PE,+51816268734,,,SSD_test1,08/14/2012 17:01:54,555,USD
bopac@gmail.com,,,bellg,gdqvs,lima,,,PE,+51269291943,,,SSD_test1,08/14/2012 17:01:54,3229,USD
snvlp@gmail.com,,,oyubp,rwrpp,lima,,,PE,+51849923354,,,SSD_test1,08/14/2012 17:01:54,1389,USD
tdbak@gmail.com,,,fqdqr,opgly,lima,,,PE,+51488587661,,,SSD_test1,08/14/2012 17:01:54,2222,USD
zoite@gmail.com,,,qtsne,aaxyp,lima,,,PE,+51229479565,,,SSD_test1,08/14/2012 17:01:54,4777,USD
vtpoa@gmail.com,,,qgwjq,irfxf,lima,,,PE,+51728286129,,,SSD_test1,08/14/2012 17:01:54,2073,USD
vmowv@gmail.com,,,lyujq,gearx,lima,,,PE,+51825529753,,,SSD_test1,08/14/2012 17:01:54,3037,USD
ljbkc@gmail.com,,,gytgk,jsxvt,lima,,,PE,+51582312427,,,SSD_test1,08/14/2012 17:01:54,4632,USD
ekihd@gmail.com,,,gqboc,cyhpi,lima,,,PE,+51361858285,,,SSD_test1,08/14/2012 17:01:54,3874,USD
vergg@gmail.com,,,yoheo,lqkpb,lima,,,PE,+51695562127,,,SSD_test1,08/14/2012 17:01:54,3722,USD
hpzlt@gmail.com,,,fiprq,niypn,lima,,,PE,+51941266132,,,SSD_test1,08/14/2012 17:01:54,793,USD
xeger@gmail.com,,,blqnl,gigvl,lima,,,PE,+51124339764,,,SSD_test1,08/14/2012 17:01:54,807,USD
qopxe@gmail.com,,,zcgwf,apmto,lima,,,PE,+51781421413,,,SSD_test1,08/14/2012 17:01:54,1293,USD
zrmmn@gmail.com,,,oewkz,djnxr,arequipa,,,PE,+51225888632,,,SSD_test1,08/14/2012 17:01:54,746,USD
ypcts@gmail.com,,,gwjpw,bgndo,cuzco,,,PE,+51741741736,,,SSD_test1,08/14/2012 17:01:54,4629,USD
rnflk@gmail.com,,,jqwvb,xabvi,piura,,,PE,+51147288956,,,SSD_test1,08/14/2012 17:01:54,1086,USD
eptai@gmail.com,,,xtexv,ibaiz,lima,,,PE,+51489571131,,,SSD_test1,08/14/2012 17:01:54,3050,USD
cmmda@gmail.com,,,qdmst,fgsfm,lima,,,PE,+51427522844,,,SSD_test1,08/14/2012 17:01:54,3546,USD
uakzh@gmail.com,,,nxkcr,jlych,lima,,,PE,+51234583527,,,SSD_test1,08/14/2012 17:01:54,4260,USD
zwfoj@gmail.com,,,ezquh,jchry,lima,,,PE,+51228511854,,,SSD_test1,08/14/2012 17:01:54,2414,USD
pztnv@gmail.com,,,fvhsu,cidgm,lima,,,PE,+51423961881,,,SSD_test1,08/14/2012 17:01:54,3206,USD
